ID_Orden,Fecha_Orden,Metodo_Envio,Nombre_Cliente,Segmento,Region,Provincia,Categoria,Subcategoria,Ventas,Cantidad,Descuento,Ganancia
CR-2024-01007,2024-06-16,Estandar,Lucia Sanchez,Consumidor,Norte,San Carlos,Oficina,Utiles,170.64,2,0.0,73.91
CR-2022-01008,2022-05-19,Estandar,Fernando Arias,Corporativo,Caribe,Limon,Tecnologia,Tablets,1497.4,2,0.1,333.72
CR-2022-01008,2022-05-19,Express,Fernando Arias,Corporativo,Caribe,Limon,Muebles,Sillas,236.14,1,0.0,27.73
CR-2022-01009,2022-12-21,Express,Valentina Castro,Consumidor,Caribe,Limon,Tecnologia,Laptops,661.73,1,0.0,216.37
CR-2022-01009,2022-12-21,Estandar,Valentina Castro,Consumidor,Caribe,Limon,Tecnologia,Telefonos,1991.22,2,0.0,155.27
CR-2024-01010,2024-04-12,Economico,Ana Mora,Gobierno,Pacifico,Guanacaste,Muebles,Escritorios,565.19,2,0.05,66.29
CR-2022-01011,2022-11-14,Estandar,Daniela Zuniga,Corporativo,Pacifico,Puntarenas,Muebles,Sillas,241.07,2,0.05,52.1
CR-2024-01012,2024-11-06,Economico,Camila Brenes,Corporativo,Pacifico,Puntarenas,Muebles,Sillas,534.93,3,0.0,83.84
CR-2024-01012,2024-11-06,Economico,Camila Brenes,Corporativo,Pacifico,Puntarenas,Muebles,Estantes,1238.1,2,0.0,99.02
CR-2024-01012,2024-11-06,Estandar,Camila Brenes,Corporativo,Pacifico,Puntarenas,Tecnologia,Laptops,413.38,1,0.05,77.37
CR-2024-01013,2024-07-27,Economico,Andres Rojas,Corporativo,Central,San Jose,Muebles,Estantes,2406.93,3,0.0,135.47
CR-2024-01014,2024-12-19,Express,Isabella Monge,Gobierno,Caribe,Limon,Tecnologia,Telefonos,1126.5,1,0.0,127.51
CR-2023-01015,2023-06-25,Economico,Valentina Castro,Consumidor,Caribe,Limon,Tecnologia,Tablets,104.77,2,0.05,13.47
CR-2023-01015,2023-06-25,Economico,Valentina Castro,Consumidor,Caribe,Limon,Oficina,Utiles,214.64,2,0.0,113.33
CR-2022-01016,2022-03-15,Economico,Daniela Zuniga,Consumidor,Pacifico,Guanacaste,Tecnologia,Tablets,1353.44,1,0.0,109.41
CR-2022-01017,2022-11-13,Economico,Diego Hernandez,Gobierno,Pacifico,Puntarenas,Tecnologia,Telefonos,837.19,3,0.1,145.26
CR-2022-01017,2022-11-13,Express,Diego Hernandez,Gobierno,Pacifico,Puntarenas,Muebles,Mesas,421.08,2,0.0,12.17
CR-2022-01017,2022-11-13,Estandar,Diego Hernandez,Gobierno,Pacifico,Puntarenas,Tecnologia,Telefonos,1234.05,1,0.0,356.15
CR-2022-01018,2022-02-18,Express,Mateo Calderon,Consumidor,Norte,Upala,Muebles,Sillas,699.09,2,0.05,149.63
CR-2022-01018,2022-02-18,Estandar,Mateo Calderon,Consumidor,Norte,Upala,Tecnologia,Laptops,1255.62,1,0.05,433.27
CR-2022-01018,2022-02-18,Economico,Mateo Calderon,Consumidor,Norte,Upala,Oficina,Papel,136.02,2,0.0,53.39
CR-2024-01019,2024-02-28,Express,Fernando Arias,Consumidor,Pacifico,Guanacaste,Oficina,Papel,282.39,3,0.1,64.61
CR-2023-01020,2023-11-08,Economico,Andres Rojas,Gobierno,Central,Alajuela,Muebles,Escritorios,660.19,2,0.05,42.33
CR-2022-01021,2022-12-23,Express,Maria Lopez,Corporativo,Caribe,Limon,Tecnologia,Telefonos,1279.35,2,0.05,242.43
CR-2024-01022,2024-11-12,Estandar,Andres Rojas,Consumidor,Pacifico,Puntarenas,Muebles,Mesas,469.74,3,0.0,42.93
CR-2024-01022,2024-11-12,Express,Andres Rojas,Consumidor,Pacifico,Puntarenas,Tecnologia,Tablets,333.48,3,0.05,93.56
CR-2023-01023,2023-02-03,Estandar,Mateo Calderon,Consumidor,Norte,Upala,Tecnologia,Telefonos,3629.77,3,0.1,1029.13
CR-2023-01023,2023-02-03,Express,Mateo Calderon,Consumidor,Norte,Upala,Oficina,Utiles,80.1,1,0.0,39.2
CR-2024-01024,2024-08-09,Express,Laura Jimenez,Corporativo,Caribe,Limon,Muebles,Escritorios,1369.93,2,0.1,261.71
CR-2024-01024,2024-08-09,Express,Laura Jimenez,Corporativo,Caribe,Limon,Muebles,Mesas,1392.92,2,0.0,277.0
CR-2024-01024,2024-08-09,Economico,Laura Jimenez,Corporativo,Caribe,Limon,Muebles,Sillas,881.4,2,0.0,85.71
CR-2022-01025,2022-10-11,Economico,Lucia Sanchez,Corporativo,Norte,San Carlos,Muebles,Sillas,524.94,1,0.0,61.23
CR-2024-01026,2024-02-19,Express,Pablo Solano,Corporativo,Caribe,Limon,Oficina,Impresion,168.38,2,0.0,40.04
CR-2024-01026,2024-02-19,Express,Pablo Solano,Corporativo,Caribe,Limon,Tecnologia,Telefonos,1104.91,2,0.1,295.29
CR-2024-01027,2024-12-29,Express,Andres Rojas,Consumidor,Norte,San Carlos,Muebles,Escritorios,229.02,1,0.0,28.53
CR-2023-01028,2023-07-24,Economico,Maria Lopez,Corporativo,Norte,Upala,Oficina,Papel,37.65,3,0.0,6.68
CR-2022-01029,2022-03-05,Express,Carlos Ramirez,Corporativo,Pacifico,Puntarenas,Oficina,Utiles,61.53,3,0.05,15.54
CR-2022-01030,2022-08-23,Estandar,Sofia Vargas,Consumidor,Pacifico,Guanacaste,Oficina,Utiles,309.66,3,0.0,135.01
CR-2022-01030,2022-08-23,Economico,Sofia Vargas,Consumidor,Pacifico,Guanacaste,Tecnologia,Laptops,1007.88,1,0.05,293.96
CR-2022-01030,2022-08-23,Estandar,Sofia Vargas,Consumidor,Pacifico,Guanacaste,Muebles,Escritorios,1033.7,2,0.0,174.63
CR-2024-01031,2024-11-30,Express,Pablo Solano,Consumidor,Norte,San Carlos,Oficina,Organizadores,83.9,2,0.05,28.81
CR-2024-01031,2024-11-30,Estandar,Pablo Solano,Consumidor,Norte,San Carlos,Muebles,Escritorios,1556.8,2,0.0,346.82
CR-2024-01032,2024-02-16,Estandar,Isabella Monge,Consumidor,Norte,Upala,Muebles,Mesas,969.52,3,0.1,81.0
CR-2022-01033,2022-11-25,Express,Diego Hernandez,Corporativo,Norte,San Carlos,Muebles,Estantes,730.2,1,0.0,130.79
CR-2022-01033,2022-11-25,Express,Diego Hernandez,Corporativo,Norte,San Carlos,Muebles,Escritorios,453.77,1,0.15,66.52
CR-2023-01034,2023-07-09,Express,Maria Lopez,Corporativo,Pacifico,Puntarenas,Oficina,Organizadores,285.76,2,0.0,127.29
CR-2022-01035,2022-07-25,Estandar,Mateo Calderon,Consumidor,Caribe,Limon,Oficina,Impresion,23.35,1,0.0,6.23
CR-2022-01036,2022-07-30,Express,Pablo Solano,Consumidor,Caribe,Limon,Tecnologia,Laptops,1248.27,3,0.0,86.88
CR-2022-01037,2022-12-20,Express,Gabriela Quesada,Gobierno,Caribe,Limon,Muebles,Escritorios,1154.36,2,0.0,161.83
CR-2022-01037,2022-12-20,Economico,Gabriela Quesada,Gobierno,Caribe,Limon,Muebles,Sillas,2356.02,3,0.0,383.65
CR-2023-01038,2023-03-02,Estandar,Laura Jimenez,Consumidor,Caribe,Limon,Tecnologia,Accesorios,51.19,1,0.05,7.03
CR-2023-01038,2023-03-02,Express,Laura Jimenez,Consumidor,Caribe,Limon,Oficina,Utiles,137.97,3,0.0,33.58
CR-2024-01039,2024-10-20,Express,Daniela Zuniga,Corporativo,Pacifico,Guanacaste,Muebles,Estantes,965.5,2,0.15,116.83
CR-2024-01040,2024-04-04,Economico,Gabriela Quesada,Consumidor,Norte,Upala,Oficina,Papel,51.74,1,0.0,27.67
CR-2024-01040,2024-04-04,Economico,Gabriela Quesada,Consumidor,Norte,Upala,Oficina,Impresion,223.4,2,0.1,49.17
CR-2024-01040,2024-04-04,Estandar,Gabriela Quesada,Consumidor,Norte,Upala,Muebles,Escritorios,434.76,2,0.05,57.87
CR-2023-01041,2023-12-14,Express,Laura Jimenez,Gobierno,Caribe,Limon,Muebles,Sillas,854.12,3,0.1,125.15
CR-2023-01042,2023-10-07,Express,Maria Lopez,Gobierno,Central,Heredia,Oficina,Impresion,68.39,1,0.05,27.29
CR-2023-01042,2023-10-07,Economico,Maria Lopez,Gobierno,Central,Heredia,Tecnologia,Tablets,586.77,2,0.15,106.46
CR-2022-01043,2022-12-06,Economico,Jose Garcia,Consumidor,Pacifico,Puntarenas,Tecnologia,Telefonos,751.64,2,0.0,251.14
CR-2022-01043,2022-12-06,Express,Jose Garcia,Consumidor,Pacifico,Puntarenas,Muebles,Escritorios,760.3,1,0.1,87.86
CR-2023-01044,2023-05-15,Economico,Ricardo Chaves,Consumidor,Pacifico,Guanacaste,Tecnologia,Accesorios,1172.56,1,0.1,204.59
CR-2023-01044,2023-05-15,Express,Ricardo Chaves,Consumidor,Pacifico,Guanacaste,Tecnologia,Telefonos,437.11,1,0.05,152.84
CR-2024-01045,2024-07-03,Express,Sebastian Vega,Corporativo,Caribe,Limon,Muebles,Sillas,2379.21,3,0.0,257.15
CR-2023-01046,2023-10-14,Estandar,Sofia Vargas,Gobierno,Norte,Upala,Muebles,Escritorios,740.49,1,0.15,71.35
CR-2023-01046,2023-10-14,Economico,Sofia Vargas,Gobierno,Norte,Upala,Tecnologia,Telefonos,731.37,1,0.1,126.52
CR-2023-01046,2023-10-14,Economico,Sofia Vargas,Gobierno,Norte,Upala,Tecnologia,Laptops,2192.28,3,0.0,565.19
CR-2023-01047,2023-11-04,Estandar,Isabella Monge,Corporativo,Norte,Upala,Oficina,Papel,9.7,1,0.05,5.03
CR-2024-01048,2024-06-07,Estandar,Lucia Sanchez,Consumidor,Central,Heredia,Tecnologia,Tablets,520.34,1,0.0,93.25
CR-2024-01048,2024-06-07,Express,Lucia Sanchez,Consumidor,Central,Heredia,Oficina,Utiles,103.86,1,0.0,40.9
CR-2024-01048,2024-06-07,Express,Lucia Sanchez,Consumidor,Central,Heredia,Muebles,Sillas,787.09,1,0.05,61.72
CR-2024-01049,2024-08-10,Estandar,Valentina Castro,Consumidor,Pacifico,Puntarenas,Muebles,Escritorios,603.93,1,0.0,129.49
CR-2024-01049,2024-08-10,Economico,Valentina Castro,Consumidor,Pacifico,Puntarenas,Muebles,Estantes,167.46,1,0.0,14.74
CR-2024-01049,2024-08-10,Economico,Valentina Castro,Consumidor,Pacifico,Puntarenas,Tecnologia,Laptops,2936.04,2,0.0,645.28
CR-2024-01050,2024-10-14,Estandar,Gabriela Quesada,Corporativo,Caribe,Limon,Tecnologia,Laptops,1710.52,2,0.1,423.79
CR-2022-01051,2022-03-22,Express,Pablo Solano,Corporativo,Norte,San Carlos,Muebles,Estantes,347.91,1,0.0,69.89
CR-2022-01052,2022-12-03,Economico,Sofia Vargas,Corporativo,Norte,Upala,Muebles,Escritorios,739.13,1,0.15,161.01
CR-2022-01052,2022-12-03,Express,Sofia Vargas,Corporativo,Norte,Upala,Oficina,Organizadores,116.08,2,0.0,42.33
CR-2023-01053,2023-06-21,Express,Maria Lopez,Corporativo,Caribe,Limon,Oficina,Organizadores,99.86,2,0.05,40.36
CR-2024-01054,2024-10-16,Economico,Andres Rojas,Gobierno,Central,Heredia,Oficina,Impresion,23.44,1,0.05,10.48
CR-2022-01055,2022-11-13,Economico,Fernando Arias,Corporativo,Central,Heredia,Muebles,Estantes,258.16,1,0.0,26.7
CR-2024-01056,2024-11-05,Estandar,Lucia Sanchez,Gobierno,Pacifico,Puntarenas,Tecnologia,Telefonos,1960.94,2,0.0,560.9
CR-2023-01057,2023-12-25,Estandar,Sebastian Vega,Corporativo,Pacifico,Puntarenas,Tecnologia,Accesorios,2387.06,2,0.0,824.03
CR-2022-01058,2022-12-24,Economico,Maria Lopez,Consumidor,Central,San Jose,Tecnologia,Laptops,272.39,1,0.1,56.61
CR-2022-01058,2022-12-24,Estandar,Maria Lopez,Consumidor,Central,San Jose,Muebles,Sillas,425.21,1,0.05,52.71
CR-2024-01059,2024-12-03,Economico,Ana Mora,Gobierno,Central,San Jose,Tecnologia,Telefonos,2282.67,3,0.0,169.46
CR-2022-01060,2022-12-15,Economico,Daniel Cordero,Gobierno,Caribe,Limon,Oficina,Utiles,83.51,1,0.1,41.01
CR-2024-01061,2024-05-30,Estandar,Lucia Sanchez,Consumidor,Pacifico,Guanacaste,Oficina,Impresion,17.85,1,0.05,5.35
CR-2022-01062,2022-10-18,Estandar,Andres Rojas,Consumidor,Central,Heredia,Tecnologia,Tablets,1627.81,2,0.05,242.37
CR-2023-01063,2023-12-26,Estandar,Ricardo Chaves,Gobierno,Norte,San Carlos,Tecnologia,Accesorios,843.58,1,0.05,98.93
CR-2024-01064,2024-11-23,Economico,Lucia Sanchez,Corporativo,Pacifico,Guanacaste,Oficina,Organizadores,195.45,2,0.05,80.75
CR-2024-01064,2024-11-23,Estandar,Lucia Sanchez,Corporativo,Pacifico,Guanacaste,Tecnologia,Telefonos,623.2,2,0.0,94.69
CR-2022-01065,2022-10-21,Express,Ana Mora,Consumidor,Norte,San Carlos,Tecnologia,Accesorios,1131.86,1,0.0,172.35
CR-2022-01065,2022-10-21,Estandar,Ana Mora,Consumidor,Norte,San Carlos,Oficina,Utiles,148.31,3,0.05,74.65
CR-2022-01065,2022-10-21,Economico,Ana Mora,Consumidor,Norte,San Carlos,Oficina,Impresion,12.22,1,0.0,3.91
CR-2024-01066,2024-12-28,Economico,Camila Brenes,Consumidor,Central,Heredia,Oficina,Papel,151.12,2,0.0,46.56
CR-2024-01066,2024-12-28,Express,Camila Brenes,Consumidor,Central,Heredia,Tecnologia,Accesorios,935.31,3,0.1,261.18
CR-2022-01067,2022-12-03,Economico,Lucia Sanchez,Consumidor,Norte,San Carlos,Oficina,Papel,172.02,2,0.0,53.12
CR-2022-01067,2022-12-03,Economico,Lucia Sanchez,Consumidor,Norte,San Carlos,Muebles,Escritorios,257.5,3,0.1,39.25
CR-2024-01068,2024-11-05,Economico,Daniela Zuniga,Consumidor,Central,Heredia,Oficina,Impresion,124.53,1,0.1,30.8
CR-2024-01069,2024-12-09,Express,Sebastian Vega,Consumidor,Caribe,Limon,Oficina,Utiles,193.64,2,0.0,89.17
CR-2023-01070,2023-11-29,Economico,Isabella Monge,Corporativo,Pacifico,Puntarenas,Tecnologia,Tablets,583.03,2,0.05,161.11
CR-2023-01070,2023-11-29,Economico,Isabella Monge,Corporativo,Pacifico,Puntarenas,Oficina,Organizadores,264.1,2,0.05,105.59
CR-2022-01071,2022-11-06,Express,Gabriela Quesada,Corporativo,Norte,Upala,Muebles,Sillas,471.22,1,0.05,15.59
CR-2022-01071,2022-11-06,Express,Gabriela Quesada,Corporativo,Norte,Upala,Oficina,Papel,371.41,3,0.05,131.04
CR-2024-01072,2024-07-10,Estandar,Valentina Castro,Corporativo,Pacifico,Guanacaste,Tecnologia,Telefonos,1265.87,2,0.1,436.37
CR-2022-01073,2022-11-22,Express,Camila Brenes,Consumidor,Norte,San Carlos,Muebles,Sillas,604.87,1,0.05,58.65
CR-2024-01074,2024-12-02,Economico,Andres Rojas,Consumidor,Pacifico,Guanacaste,Muebles,Sillas,635.34,2,0.05,31.55
CR-2023-01075,2023-09-27,Express,Andres Rojas,Corporativo,Caribe,Limon,Oficina,Utiles,35.24,2,0.05,5.54
CR-2023-01075,2023-09-27,Estandar,Andres Rojas,Corporativo,Caribe,Limon,Tecnologia,Laptops,1091.02,2,0.0,381.85
CR-2023-01075,2023-09-27,Economico,Andres Rojas,Corporativo,Caribe,Limon,Muebles,Sillas,695.19,1,0.1,147.43
CR-2023-01076,2023-11-21,Economico,Sofia Vargas,Consumidor,Pacifico,Guanacaste,Oficina,Utiles,122.31,1,0.0,38.45
CR-2023-01076,2023-11-21,Estandar,Sofia Vargas,Consumidor,Pacifico,Guanacaste,Muebles,Estantes,1045.24,2,0.1,77.16
CR-2024-01077,2024-08-18,Estandar,Sofia Vargas,Corporativo,Pacifico,Guanacaste,Muebles,Mesas,1350.79,2,0.05,157.09
CR-2024-01077,2024-08-18,Economico,Sofia Vargas,Corporativo,Pacifico,Guanacaste,Oficina,Papel,23.82,1,0.05,11.9
CR-2024-01077,2024-08-18,Express,Sofia Vargas,Corporativo,Pacifico,Guanacaste,Oficina,Impresion,382.95,3,0.0,174.34
CR-2024-01078,2024-11-17,Express,Lucia Sanchez,Gobierno,Norte,San Carlos,Muebles,Sillas,842.99,1,0.0,89.37
CR-2024-01078,2024-11-17,Express,Lucia Sanchez,Gobierno,Norte,San Carlos,Muebles,Mesas,264.12,1,0.0,48.7
CR-2022-01079,2022-10-09,Economico,Maria Lopez,Corporativo,Norte,San Carlos,Tecnologia,Tablets,1363.49,1,0.0,129.34
CR-2022-01080,2022-08-16,Estandar,Carlos Ramirez,Consumidor,Pacifico,Guanacaste,Oficina,Utiles,60.59,1,0.15,23.55
CR-2022-01081,2022-10-22,Economico,Sofia Vargas,Consumidor,Central,Alajuela,Oficina,Papel,203.78,2,0.0,108.28
CR-2024-01082,2024-03-10,Estandar,Daniel Cordero,Consumidor,Central,Alajuela,Tecnologia,Accesorios,567.79,1,0.0,140.32
CR-2022-01083,2022-10-01,Express,Daniel Cordero,Corporativo,Caribe,Limon,Oficina,Papel,74.39,1,0.0,32.47
CR-2023-01084,2023-10-24,Estandar,Fernando Arias,Gobierno,Central,Heredia,Oficina,Organizadores,69.96,1,0.05,18.5
CR-2023-01085,2023-11-14,Estandar,Daniela Zuniga,Corporativo,Norte,Upala,Tecnologia,Tablets,654.07,1,0.15,134.6
CR-2022-01086,2022-06-11,Express,Maria Lopez,Consumidor,Pacifico,Guanacaste,Muebles,Escritorios,662.66,2,0.0,118.38
CR-2022-01087,2022-03-28,Estandar,Isabella Monge,Consumidor,Caribe,Limon,Oficina,Utiles,115.02,2,0.1,24.61
CR-2024-01088,2024-10-16,Economico,Diego Hernandez,Consumidor,Pacifico,Guanacaste,Tecnologia,Telefonos,3103.92,3,0.0,865.76
CR-2024-01089,2024-12-20,Express,Andres Rojas,Consumidor,Caribe,Limon,Tecnologia,Tablets,734.93,1,0.05,94.46
CR-2023-01090,2023-03-16,Express,Isabella Monge,Consumidor,Caribe,Limon,Muebles,Estantes,376.69,2,0.15,77.76
CR-2023-01090,2023-03-16,Economico,Isabella Monge,Consumidor,Caribe,Limon,Oficina,Utiles,25.96,2,0.1,12.73
CR-2023-01090,2023-03-16,Express,Isabella Monge,Consumidor,Caribe,Limon,Muebles,Sillas,497.18,1,0.0,25.82
CR-2024-01091,2024-01-10,Express,Carlos Ramirez,Corporativo,Caribe,Limon,Tecnologia,Tablets,130.8,1,0.1,25.32
CR-2022-01092,2022-11-01,Estandar,Camila Brenes,Consumidor,Central,Heredia,Oficina,Papel,83.1,1,0.15,26.85
CR-2024-01093,2024-11-27,Economico,Carlos Ramirez,Consumidor,Pacifico,Puntarenas,Oficina,Organizadores,269.52,2,0.0,108.89
CR-2022-01094,2022-09-14,Economico,Fernando Arias,Corporativo,Central,Alajuela,Tecnologia,Laptops,507.01,2,0.15,76.7
CR-2022-01094,2022-09-14,Estandar,Fernando Arias,Corporativo,Central,Alajuela,Tecnologia,Tablets,452.98,3,0.1,58.61
CR-2022-01094,2022-09-14,Express,Fernando Arias,Corporativo,Central,Alajuela,Oficina,Impresion,92.77,1,0.05,24.66
CR-2023-01095,2023-05-17,Economico,Lucia Sanchez,Consumidor,Norte,Upala,Muebles,Estantes,420.81,1,0.0,22.32
CR-2023-01096,2023-12-09,Express,Pablo Solano,Corporativo,Pacifico,Guanacaste,Muebles,Escritorios,180.47,1,0.0,5.71
CR-2023-01097,2023-05-24,Estandar,Laura Jimenez,Gobierno,Pacifico,Guanacaste,Tecnologia,Laptops,1467.73,2,0.05,209.24
CR-2024-01098,2024-03-16,Estandar,Camila Brenes,Corporativo,Pacifico,Puntarenas,Muebles,Sillas,1082.94,2,0.05,92.83
CR-2024-01099,2024-11-01,Economico,Ana Mora,Consumidor,Caribe,Limon,Oficina,Organizadores,66.46,2,0.0,23.37
CR-2022-01100,2022-10-01,Estandar,Sofia Vargas,Corporativo,Norte,Upala,Muebles,Sillas,664.12,1,0.05,89.67
CR-2022-01100,2022-10-01,Economico,Sofia Vargas,Corporativo,Norte,Upala,Tecnologia,Telefonos,2060.95,2,0.05,195.14
CR-2023-01101,2023-11-03,Economico,Mateo Calderon,Consumidor,Caribe,Limon,Muebles,Estantes,1077.02,2,0.05,142.88
CR-2023-01101,2023-11-03,Economico,Mateo Calderon,Consumidor,Caribe,Limon,Muebles,Estantes,711.46,1,0.05,174.58
CR-2022-01102,2022-02-24,Economico,Andres Rojas,Corporativo,Caribe,Limon,Oficina,Utiles,173.18,2,0.1,36.21
CR-2022-01103,2022-03-06,Economico,Maria Lopez,Consumidor,Central,San Jose,Muebles,Sillas,581.59,1,0.1,134.77
CR-2022-01104,2022-10-10,Economico,Maria Lopez,Corporativo,Caribe,Limon,Muebles,Estantes,827.94,1,0.0,163.57
CR-2022-01104,2022-10-10,Express,Maria Lopez,Corporativo,Caribe,Limon,Oficina,Organizadores,225.63,3,0.0,60.78
CR-2022-01104,2022-10-10,Economico,Maria Lopez,Corporativo,Caribe,Limon,Oficina,Organizadores,70.12,2,0.0,20.3
CR-2023-01105,2023-12-13,Economico,Mateo Calderon,Corporativo,Norte,Upala,Muebles,Estantes,343.47,3,0.0,79.86
CR-2023-01105,2023-12-13,Economico,Mateo Calderon,Corporativo,Norte,Upala,Oficina,Organizadores,70.75,1,0.05,37.02
CR-2022-01106,2022-10-09,Estandar,Daniel Cordero,Consumidor,Pacifico,Puntarenas,Tecnologia,Laptops,113.5,1,0.1,9.1
CR-2022-01107,2022-11-20,Estandar,Ricardo Chaves,Corporativo,Norte,Upala,Muebles,Sillas,282.64,1,0.1,48.06
CR-2022-01107,2022-11-20,Express,Ricardo Chaves,Corporativo,Norte,Upala,Tecnologia,Tablets,1115.08,2,0.15,67.91
CR-2022-01107,2022-11-20,Estandar,Ricardo Chaves,Corporativo,Norte,Upala,Tecnologia,Accesorios,3590.6,3,0.15,1123.94
CR-2022-01108,2022-08-08,Estandar,Laura Jimenez,Consumidor,Caribe,Limon,Muebles,Estantes,768.73,1,0.05,63.61
CR-2022-01108,2022-08-08,Express,Laura Jimenez,Consumidor,Caribe,Limon,Tecnologia,Accesorios,1998.22,2,0.1,108.35
CR-2023-01109,2023-12-31,Express,Ana Mora,Corporativo,Norte,Upala,Tecnologia,Tablets,317.93,1,0.0,39.55
CR-2023-01110,2023-04-28,Express,Diego Hernandez,Consumidor,Caribe,Limon,Muebles,Mesas,1232.04,2,0.0,58.14
CR-2023-01110,2023-04-28,Economico,Diego Hernandez,Consumidor,Caribe,Limon,Muebles,Sillas,1734.97,3,0.1,341.9
CR-2023-01111,2023-08-28,Economico,Ana Mora,Gobierno,Pacifico,Puntarenas,Oficina,Utiles,133.54,1,0.1,68.79
CR-2023-01112,2023-05-22,Economico,Maria Lopez,Consumidor,Central,Alajuela,Oficina,Utiles,36.16,2,0.15,8.35
CR-2022-01113,2022-12-03,Express,Jose Garcia,Corporativo,Norte,San Carlos,Tecnologia,Tablets,1353.39,1,0.0,121.24
CR-2022-01113,2022-12-03,Express,Jose Garcia,Corporativo,Norte,San Carlos,Oficina,Organizadores,12.03,1,0.1,5.28
CR-2022-01114,2022-01-07,Express,Sebastian Vega,Consumidor,Central,San Jose,Tecnologia,Telefonos,1194.38,1,0.15,71.09
CR-2022-01115,2022-10-05,Economico,Mateo Calderon,Gobierno,Norte,Upala,Muebles,Estantes,737.26,2,0.05,106.19
CR-2022-01116,2022-12-31,Express,Mateo Calderon,Corporativo,Norte,San Carlos,Tecnologia,Telefonos,1321.93,1,0.1,234.3
CR-2022-01116,2022-12-31,Estandar,Mateo Calderon,Corporativo,Norte,San Carlos,Tecnologia,Laptops,717.91,1,0.0,224.39
CR-2024-01117,2024-05-08,Express,Diego Hernandez,Consumidor,Central,San Jose,Muebles,Escritorios,1140.36,2,0.0,217.04
CR-2024-01117,2024-05-08,Express,Diego Hernandez,Consumidor,Central,San Jose,Tecnologia,Telefonos,1498.77,2,0.1,137.95
CR-2023-01118,2023-10-16,Economico,Lucia Sanchez,Consumidor,Caribe,Limon,Oficina,Utiles,37.05,1,0.0,19.61
CR-2023-01118,2023-10-16,Economico,Lucia Sanchez,Consumidor,Caribe,Limon,Oficina,Impresion,206.84,2,0.0,59.52
CR-2023-01118,2023-10-16,Economico,Lucia Sanchez,Consumidor,Caribe,Limon,Oficina,Impresion,51.22,1,0.0,15.4
CR-2023-01119,2023-05-09,Economico,Isabella Monge,Corporativo,Caribe,Limon,Muebles,Sillas,536.98,1,0.0,35.85
CR-2023-01119,2023-05-09,Express,Isabella Monge,Corporativo,Caribe,Limon,Muebles,Escritorios,697.18,1,0.1,44.49
CR-2022-01120,2022-03-22,Express,Diego Hernandez,Consumidor,Pacifico,Puntarenas,Tecnologia,Telefonos,321.41,1,0.1,88.09
CR-2023-01121,2023-02-23,Estandar,Mateo Calderon,Corporativo,Pacifico,Guanacaste,Oficina,Impresion,54.24,1,0.05,18.92
CR-2023-01122,2023-10-18,Express,Laura Jimenez,Consumidor,Caribe,Limon,Oficina,Organizadores,22.24,1,0.15,8.49
CR-2023-01122,2023-10-18,Economico,Laura Jimenez,Consumidor,Caribe,Limon,Tecnologia,Accesorios,317.76,1,0.05,39.31
